Size,Time
533,1.004
534,1.011
535,1.014
536,1.009
537,1.014
538,0.995
539,1.029
540,1.003
541,1.012
542,1.021
543,1.017
544,0.996
545,0.993
546,1.035
547,1.034
548,1.029
549,1.040
550,1.013
551,1.062
552,1.023
553,1.025
554,1.015
555,1.077
556,1.036
557,1.043
558,1.043
559,1.033
560,1.019
561,1.023
562,1.044
563,1.056
564,1.022
565,1.039
566,1.021
567,1.024
568,1.040
569,1.029
570,1.051
571,1.088
572,1.049
573,1.045
574,1.065
575,1.043
576,1.044
577,1.032
578,1.060
579,1.044
580,1.067
581,1.054
582,1.050
583,1.039
584,1.076
585,1.049
586,1.138
587,1.064
588,1.070
589,1.080
590,1.075
591,1.065
592,1.051
593,1.065
594,1.078
595,1.067
596,1.069
597,1.059
598,1.069
599,1.075
600,1.073
601,1.166
602,1.070
603,1.080
604,1.065
605,1.096
606,1.081
607,1.081
608,1.096
609,1.096
610,1.104
611,1.103
612,1.081
613,1.091
614,1.114
615,1.089
616,1.154
617,1.120
618,1.125
619,1.108
620,1.102
621,1.099
622,1.099
623,1.116
624,1.120
625,1.115
626,1.107
627,1.085
628,1.105
629,1.106
630,1.147
631,1.125
632,1.110
633,1.184
634,1.121
635,1.098
636,1.135
637,1.120
638,1.118
639,1.106
640,1.143
641,1.124
642,1.115
643,1.140
644,1.174
645,1.107
646,1.117
647,1.150
648,1.113
649,1.145
650,1.129
651,1.133
652,1.104
653,1.161
654,1.139
655,1.134
656,1.120
657,1.156
658,1.191
659,1.129
660,1.113
661,1.168
662,1.148
663,1.141
664,1.152
665,1.138
666,1.130
667,1.167
668,1.173
669,1.136
670,1.166
671,1.139
672,1.190
673,1.151
674,1.136
675,1.183
676,1.171
677,1.167
678,1.183
679,1.163
680,1.174
681,1.145
682,1.172
683,1.135
684,1.165
685,1.207
686,1.251
687,1.178
688,1.169
689,1.184
690,1.184
691,1.195
692,1.176
693,1.168
694,1.172
695,1.174
696,1.189
697,1.191
698,1.193
699,1.245
700,1.200
701,1.183
702,1.200
703,1.191
704,1.213
705,1.182
706,1.173
707,1.207
708,1.197
709,1.204
710,1.210
711,1.205
712,1.230
713,1.210
714,1.206
715,1.205
716,1.203
717,1.224
718,1.199
719,1.183
720,1.210
721,1.227
722,1.218
723,1.211
724,1.197
725,1.280
726,1.199
727,1.226
728,1.239
729,1.209
730,1.234
731,1.223
732,1.225
733,1.221
734,1.223
735,1.227
736,1.216
737,1.235
738,1.299
739,1.227
740,1.280
741,1.224
742,1.227
743,1.230
744,1.236
745,1.244
746,1.256
747,1.237
748,1.227
749,1.243
750,1.252
751,1.245
752,1.311
753,1.248
754,1.275
755,1.272
756,1.275
757,1.276
758,1.250
759,1.253
760,1.258
761,1.256
762,1.275
763,1.306
764,1.259
765,1.282
766,1.250
767,1.243
768,1.266
769,1.270
770,1.270
771,1.271
772,1.274
773,1.259
774,1.302
775,1.343
776,1.263
777,1.263
778,1.237
779,1.274
780,1.285
781,1.293
782,1.282
783,1.298
784,1.262
785,1.251
786,1.276
787,1.305
788,1.278
789,1.308
790,1.278
791,1.300
792,1.301
793,1.295
794,1.318
795,1.306
796,1.280
797,1.282
798,1.304
799,1.417
800,1.296
801,1.338
802,1.303
803,1.311
804,1.271
805,1.296
806,1.345
807,1.306
808,1.303
809,1.334
810,1.337
811,1.399
812,1.301
813,1.339
814,1.306
815,1.323
816,1.344
817,1.329
818,1.314
819,1.338
820,1.316
821,1.367
822,1.374
823,1.344
824,1.329
825,1.337
826,1.321
827,1.399
828,1.328
829,1.324
830,1.325
831,1.348
832,1.336
833,1.388
834,1.319
835,1.327
836,1.353
837,1.357
838,1.329
839,1.337
840,1.348
841,1.347
842,1.346
843,1.364
844,1.423
845,1.346
846,1.360
847,1.362
848,1.368
849,1.368
850,1.356
851,1.332
852,1.357
853,1.365
854,1.362
855,1.351
856,1.394
857,1.334
858,1.348
859,1.399
860,1.395
861,1.425
862,1.386
863,1.363
864,1.412
865,1.368
866,1.381
867,1.420
868,1.372
869,1.364
870,1.395
871,1.382
872,1.377
873,1.357
874,1.381
875,1.386
876,1.381
877,1.370
878,1.522
879,1.411
880,1.397
881,1.389
882,1.433
883,1.422
884,1.400
885,1.380
886,1.406
887,1.398
888,1.414
889,1.436
890,1.474
891,1.414
892,1.371
893,1.441
894,1.450
895,1.384
896,1.438
897,1.401
898,1.400
899,1.416
900,1.401
901,1.521
902,1.413
903,1.412
904,1.409
905,1.403
906,1.422
907,1.428
908,1.424
909,1.418
910,1.412
911,1.415
912,1.504
913,1.445
914,1.453
915,1.408
916,1.416
917,1.416
918,1.420
919,1.424
920,1.415
921,1.415
922,1.434
923,1.495
924,1.434
925,1.449
926,1.455
927,1.462
928,1.448
929,1.443
930,1.428
931,1.451
932,1.451
933,1.469
934,1.543
935,1.443
936,1.461
937,1.475
938,1.462
939,1.550
940,1.427
941,1.511
942,1.464
943,1.444
944,1.455
945,1.533
946,1.486
947,1.471
948,1.456
949,1.468
950,1.471
951,1.452
952,1.476
953,1.460
954,1.444
955,1.511
956,1.455
957,1.454
958,1.466
959,1.464
960,1.476
961,1.473
962,1.482
963,1.470
964,1.485
965,1.579
966,1.503
967,1.495
968,1.487
969,1.470
970,1.495
971,1.477
972,1.477
973,1.491
974,1.507
975,1.569
976,1.507
977,1.512
978,1.501
979,1.509
980,1.505
981,1.483
982,1.528
983,1.509
984,1.517
985,1.540
986,1.515
987,1.507
988,1.515
989,1.518
990,1.528
991,1.505
992,1.506
993,1.502
994,1.509
995,1.585
996,1.527
997,1.525
998,1.534
999,1.532
1000,1.519
